"Study_name","publ_yr","publ_yr_recoded","sex","age_group","sample","race","method","published_estimate","N","r","r_se","z","z_se","z_var","r_var"
"Manning (2003)",2003,1,"men","adults","healthy","white","direct","yes",50,0.29,0.133597746,0.298566264,0.145864991,0.0212765955994301,0.0178483577362805
"Latourelle (2008)",2008,6,"men","adults","healthy","white","image","no",35,0,0.176776695,0,0.176776695,0.031249999895123,0.031249999895123
"Latourelle (2008)",2008,6,"women","adults","healthy","white","image","no",72,0,0.120385853,0,0.120385853,0.0144927536025376,0.0144927536025376
"Mas (2009)",2009,7,"men","adults","healthy","white","image","no",72,-0.0685,0.119820973,-0.068607442,0.120385853,0.0144927536025376,0.0143570655706667
"Mas (2009)",2009,7,"men","adults","clinical","white","image","no",63,0.0021,0.129098876,0.002100003,0.129099445,0.016666666699308,0.0166665197844634
"Hurd (2011)",2011,9,"men","adults","healthy","white","image","yes",180,0.006,0.075161897,0.006000072,0.075164603,0.00564971754414761,0.00564931076063861
"Knickmeyer (2011)",2011,9,"men","non-adults","healthy","white","image","yes",73,0.143,0.117078738,0.143986873,0.119522861,0.0142857143016253,0.0137074308916726
"Knickmeyer (2011)",2011,9,"women","non-adults","healthy","white","image","yes",72,-0.133,0.118256348,-0.133792642,0.120385853,0.0144927536025376,0.0139845638422971
"Butovskaya (2012)",2012,10,"men","adults","healthy","other","direct","yes",103,0.1347,0.098185591,0.135523655,0.1,0.01,0.00964041028001928
"Folland (2012)",2012,10,"men","adults","healthy","white","image","yes",71,0.1,0.120055134,0.100335348,0.121267813,0.014705882469803,0.014413235199758
"Hampson (2012)",2012,10,"men","adults","healthy","white","image","yes",134,-0.085,0.086739154,-0.0852056,0.087370406,0.00763358784460484,0.00752368083663572
"Loehlin (2012)",2012,10,"men","non-adults","healthy","white","image","yes",182,-0.06,0.074474433,-0.060072156,0.074743509,0.00558659213763308,0.00554644117067149
"Loehlin (2012)",2012,10,"women","non-adults","healthy","white","image","yes",218,0.08,0.067762958,0.080171325,0.068199434,0.00465116279792036,0.00459181847690976
"Durdiakov? (2013)",2013,11,"men","non-adults","healthy","white","image","yes",147,0.04,0.0832,0.040021354,0.083333333,0.00694444438888889,0.00692224
"Zhang (2013)",2013,11,"men","adults","healthy","other","image","yes",294,0.003,0.058620511,0.003000009,0.058621038,0.00343642609619744,0.00343636430990112
"Zhang (2013)",2013,11,"women","adults","healthy","other","image","yes",391,0.03,0.050721618,0.030009005,0.050767308,0.00257731956156686,0.00257268253253792
"De Naeyer (2014)",2014,12,"men","adults","healthy","white","direct","yes",677,-0.05,0.038422264,-0.050041729,0.038518561,0.00148367954151072,0.0014762703708857
"Kubransk? (2014)",2014,12,"men","adults","healthy","white","image","yes",75,0.043,0.117633223,0.043026532,0.11785113,0.0138888888422769,0.0138375751533677
"Chang (2015)",2015,13,"men","adults","clinical","white","direct","yes",73,0.01,0.119510909,0.010000333,0.119522861,0.0142857143016253,0.0142828573700063
"Chang (2015)",2015,13,"men","adults","healthy","white","direct","yes",73,-0.03,0.11941529,-0.030009005,0.119522861,0.0142857143016253,0.0142600114857841
"Durdiakov? (2015)",2015,13,"men","non-adults","healthy","white","image","yes",15,0.609,0.181611012,0.707330294,0.288675135,0.0833333335672682,0.0329825596796641
"Cheng (2016)",2016,14,"women","adults","clinical","other","image","yes",74,0.104,0.117394543,0.104377407,0.118678166,0.0140845070851236,0.0137814787261788
"Cheng (2016)",2016,14,"women","adults","healthy","other","image","yes",156,0.003,0.080844481,0.003000009,0.080845208,0.00653594765656326,0.00653583010815936
"Durdiakov? (2016)",2016,14,"women","non-adults","healthy","white","image","yes",51,-0.25,0.135316469,-0.255412812,0.144337567,0.0208333332474795,0.018310546782628
"Babkov? Durdiakov? (2017)",2017,15,"men","adults","healthy","white","image","yes",65,0,0.127000127,0,0.127000127,0.0161290322580161,0.0161290322580161
"Zhang (2018)",2018,16,"men","adults","healthy","other","image","yes",336,0.06,0.054602384,0.060072156,0.054799662,0.00300300295531424,0.00298142033848346
"Zhang (2018)",2018,16,"women","adults","healthy","other","image","yes",580,-0.03,0.041593077,-0.030009005,0.041630545,0.00173310227699702,0.00172998405432793
"Warrington (2018)",2018,16,"men","non-adults","healthy","white","image","yes",2615,0.008,0.01956526,0.008000171,0.019566512,0.000382848391846144,0.0003827993988676
"Warrington (2018)",2018,16,"women","non-adults","healthy","white","image","yes",2718,0.047,0.019149378,0.047034654,0.019191772,0.000368324112499984,0.000366698677786884
"Warrington (2018)",2018,16,"men","non-adults","healthy","white","image","yes",231,-0.072,0.065883299,-0.072124804,0.066226618,0.00438596493171792,0.0043406090871234
"Warrington (2018)",2018,16,"women","non-adults","healthy","white","image","yes",287,0.123,0.058441342,0.123625981,0.059339083,0.00352112677128089,0.00341539045476096
