"sex","method","age_group","sample","race","published_estimate","effect","ma_method","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","image","adults","healthy","white","no","r","FE",-0.0469362580326864,-0.241333401324531,0.147460885259158,0.636053444521471,2,"2,4","2,4",2,0,1,0.388794286583689
"men","image","adults","healthy","white","no","r","RE_DL",-0.0469362580326864,-0.241333401324531,0.147460885259158,0.636053444521471,2,"2,4","2,4",2,0,2,0.388794286583689
"men","image","adults","healthy","white","no","r","REML",-0.0469362580326864,-0.241333401324531,0.147460885259158,0.636053444521471,2,"2,4","2,4",2,0,3,0.388794286583689
"men","image","adults","healthy","white","no","z","RE_DL",-0.0468361385416605,-0.237284040300859,0.147078749707707,0.63761074326864,2,"2,4","2,4",2,0,4,0.384362790008566
"men","image","adults","healthy","white","no","z","FE",-0.0468361385416605,-0.237284040300859,0.147078749707707,0.63761074326864,2,"2,4","2,4",2,0,5,0.384362790008566
"men","image","adults","healthy","white","no","z","REML",-0.0468361385416605,-0.237284040300859,0.147078749707707,0.63761074326864,2,"2,4","2,4",2,0,6,0.384362790008566
"men","image","adults","healthy","white","no","z","unweighted",-0.0342902717499735,-0.239174097451217,0.173516899011882,0.74837555368537,2,"2,4","2,4",2,0,7,0.412690996463099
"men","image","adults","healthy","white","no","r","unweighted",-0.03425,-0.243533100081882,0.175033100081882,0.748395463582366,2,"2,4","2,4",2,0,8,0.418566200163764
"men","image","adults","all_sample","white","no","r","REML",-0.0287354954714249,-0.18289016456328,0.12541917362043,0.714849540476387,3,"2,4,5","2,4,5",3,0,9,0.30830933818371
"men","image","adults","all_sample","white","no","r","RE_DL",-0.0287354954714249,-0.18289016456328,0.12541917362043,0.714849540476387,3,"2,4,5","2,4,5",3,0,10,0.30830933818371
"men","image","adults","all_sample","white","no","r","FE",-0.0287354954714249,-0.18289016456328,0.12541917362043,0.714849540476387,3,"2,4,5","2,4,5",3,0,11,0.30830933818371
"men","image","adults","all_sample","white","no","z","REML",-0.0286127674715703,-0.181068687241724,0.125186049743416,0.716489516141516,3,"2,4,5","2,4,5",3,0,12,0.30625473698514
"men","image","adults","all_sample","white","no","z","RE_DL",-0.0286127674715703,-0.181068687241724,0.125186049743416,0.716489516141516,3,"2,4,5","2,4,5",3,0,13,0.30625473698514
"men","image","adults","all_sample","white","no","z","FE",-0.0286127674715703,-0.181068687241724,0.125186049743416,0.716489516141516,3,"2,4,5","2,4,5",3,0,14,0.30625473698514
"all_sex","image","adults","healthy","white","no","r","FE",-0.0279584576027013,-0.177993343252082,0.12207642804668,0.714938090906534,3,"2,3,4","2,3,4",3,0,15,0.300069771298762
"all_sex","image","adults","healthy","white","no","r","REML",-0.0279584576027013,-0.177993343252082,0.12207642804668,0.714938090906534,3,"2,3,4","2,3,4",3,0,16,0.300069771298762
"all_sex","image","adults","healthy","white","no","r","RE_DL",-0.0279584576027013,-0.177993343252082,0.12207642804668,0.714938090906534,3,"2,3,4","2,3,4",3,0,17,0.300069771298762
"all_sex","image","adults","healthy","white","no","z","RE_DL",-0.0278393545233089,-0.176307285663537,0.121867085192008,0.716549164429659,3,"2,3,4","2,3,4",3,0,18,0.298174370855545
"all_sex","image","adults","healthy","white","no","z","FE",-0.0278393545233089,-0.176307285663537,0.121867085192008,0.716549164429659,3,"2,3,4","2,3,4",3,0,19,0.298174370855545
"all_sex","image","adults","healthy","white","no","z","REML",-0.0278393545233089,-0.176307285663537,0.121867085192008,0.716549164429659,3,"2,3,4","2,3,4",3,0,20,0.298174370855545
"women","image","non-adults","healthy","white","yes","z","unweighted",-0.0276676357151052,-0.109336318810777,0.054372081914265,0.508823151457745,5,"8,13,24,29,31","8,13,24,29,31",5,0,21,0.163708400725042
"men","direct","adults","healthy","white","yes","z","FE",-0.027548199973745,-0.0969381030056022,0.0421082110949563,0.438350559757943,3,"1,17,20","1,17,20",3,0,22,0.139046314100558
"women","image","non-adults","healthy","white","yes","r","unweighted",-0.0266,-0.105651466482397,0.0524514664823973,0.50956987504905,5,"8,13,24,29,31","8,13,24,29,31",5,0,23,0.158102932964795
"men","direct","adults","healthy","white","yes","r","FE",-0.0245476441833775,-0.0936901804263283,0.0445948920595732,0.486525810382228,3,"1,17,20","1,17,20",3,0,24,0.138285072485901
"men","direct","adults","all_sample","white","yes","z","FE",-0.0244969768550284,-0.0910444558071208,0.0422683159775974,0.472169408002277,4,"1,17,19,20","1,17,19,20",4,0,25,0.133312771784718
"women","image","all_age_group","healthy","white","all_published_estimate","z","unweighted",-0.0230581611840765,-0.101623935414018,0.0557934574141649,0.566785221140131,6,"3,8,13,24,29,31","3,8,13,24,29,31",6,0,26,0.157417392828183
"all_sex","image","adults","healthy","white","no","z","unweighted",-0.0228651613285253,-0.18119047341673,0.136615436971081,0.779829960945691,3,"2,3,4","2,3,4",3,0,27,0.317805910387811
"all_sex","image","adults","healthy","white","no","r","unweighted",-0.0228333333333333,-0.182996784595594,0.137330117928927,0.779924251781342,3,"2,3,4","2,3,4",3,0,28,0.320326902524521
"women","image","all_age_group","healthy","white","all_published_estimate","r","unweighted",-0.0221666666666667,-0.098887965134283,0.0545546318009497,0.571202289686492,6,"3,8,13,24,29,31","3,8,13,24,29,31",6,0,29,0.153442596935233
"men","image","adults","all_sample","white","no","z","unweighted",-0.0221655152159649,-0.183286260656238,0.14011491206565,0.79006766988249,3,"2,4,5","2,4,5",3,0,30,0.323401172721889
"men","image","adults","all_sample","white","no","r","unweighted",-0.0221333333333333,-0.185167553788847,0.14090088712218,0.790175751537612,3,"2,4,5","2,4,5",3,0,31,0.326068440911027
"men","direct","adults","all_sample","white","yes","r","FE",-0.0217786926306628,-0.0880925208933206,0.0445351356319949,0.519777404223008,4,"1,17,19,20","1,17,19,20",4,0,32,0.132627656525316
"all_sex","image","adults","all_sample","white","no","r","RE_DL",-0.0201392394501501,-0.149192467211691,0.10891398831139,0.759711456530323,4,"2,3,4,5","2,3,4,5",4,0,33,0.258106455523081
"all_sex","image","adults","all_sample","white","no","r","FE",-0.0201392394501501,-0.149192467211691,0.10891398831139,0.759711456530323,4,"2,3,4,5","2,3,4,5",4,0,34,0.258106455523081
"all_sex","image","adults","all_sample","white","no","r","REML",-0.0201392394501501,-0.149192467211691,0.10891398831139,0.759711456530323,4,"2,3,4,5","2,3,4,5",4,0,35,0.258106455523081
"all_sex","image","adults","all_sample","white","no","z","RE_DL",-0.0200317257222144,-0.148171728324276,0.108769774544481,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,36,0.256941502868758
"all_sex","image","adults","all_sample","white","no","z","FE",-0.0200317257222144,-0.148171728324276,0.108769774544481,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,37,0.256941502868758
"all_sex","image","adults","all_sample","white","no","z","REML",-0.0200317257222144,-0.148171728324276,0.108769774544481,0.761252223727596,4,"2,3,4,5","2,3,4,5",4,0,38,0.256941502868758
"men","all_method","adults","healthy","white","all_published_estimate","z","RE_DL",-0.0190485239565206,-0.0712746308788052,0.0332817402182983,0.475644239725699,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,39,0.104556371097103
"men","all_method","adults","healthy","white","all_published_estimate","z","FE",-0.0190485239565206,-0.0712746308788052,0.0332817402182983,0.475644239725699,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,40,0.104556371097103
"men","all_method","adults","healthy","white","all_published_estimate","z","REML",-0.0190485239565206,-0.0712746308788052,0.0332817402182983,0.475644239725699,10,"1,2,4,6,10,11,17,18,20,25","1,2,4,6,10,11,17,18,20,25",10,0,41,0.104556371097103
