"rank","obs","boot_lb","boot_ub"
1,0.430477541333146,-0.130131387357663,0.012104402294251
2,0.430477541333146,-0.130012715289738,0.0121045996777257
3,0.431247008350464,-0.0848730756137349,0.0134648330797471
4,0.431247008350464,-0.0847968240284933,0.0134656460833191
5,0.480121567400024,-0.0372076300205811,0.0199619337694649
6,0.480121567400024,-0.0371998992407681,0.0199619337897292
7,0.480263514325758,-0.0354327005506803,0.0210499706702038
8,0.480263514325758,-0.035432700299573,0.0210512810822606
9,0.522576780003108,-0.015040916615549,0.0376235436172471
10,0.522576780003108,-0.015040916615549,0.0376317616067871
11,0.522870638987483,-0.0135830473658858,0.0384493937068776
12,0.522870638987483,-0.0135825764507079,0.0384682698344178
13,0.643475312988011,-0.00777682583446692,0.115494690030608
14,0.643475312988011,-0.00777666638473494,0.115845074831605
15,0.654111244424747,-0.00496307585858315,0.152982909418695
16,0.654111244424747,-0.00496306236511568,0.152982909418695
