"author","cor","n","z","se.z","var.z","radiation","es.id","r","se.r","var.r"
"Aghajanyan & Suskov (2009)_1",0.2061,91,0.209094891929065,0.106600358177805,0.0113636363636364,"low","id_1",0.2061,0.102072272377411,0.0104187487882885
"Aghajanyan & Suskov (2009)_2",0.2687,91,0.275462130434823,0.106600358177805,0.0113636363636364,"low","id_2",0.2687,0.0989038453634787,0.00978197062768291
"Aghajanyan & Suskov (2009)_3",0.2049,92,0.207841981010897,0.105999788000636,0.0112359550561798,"low","id_3",0.2049,0.101549491841219,0.0103122992932099
"Aghajanyan & Suskov (2009)_4",0.2672,92,0.27384610385012,0.105999788000636,0.0112359550561798,"low","id_4",0.2672,0.0984318440965087,0.00968882793223939
"Alexanin et al. (2010)_5",0.9317,559,1.67112297831775,0.0424094464839985,0.00179856115107914,"low","id_5",0.9317,0.00559529498690546,3.13073259904894e-05
"Alexanin et al. (2010)_6",0.4429,559,0.47583274963822,0.0424094464839985,0.00179856115107914,"low","id_6",0.4429,0.0340903920738243,0.00116215483174706
"Alexanin et al. (2010)_7",0.8996,559,1.47011820470867,0.0424094464839985,0.00179856115107914,"low","id_7",0.8996,0.00808832284791677,6.54209664921324e-05
"Alexanin et al. (2010)_8",0.9547,559,1.88234248773499,0.0424094464839985,0.00179856115107914,"low","id_8",0.9547,0.00375526785041492,1.41020366283599e-05
"Alexanin et al. (2010)_9",0.9602,559,1.94846743777234,0.0424094464839985,0.00179856115107914,"low","id_9",0.9602,0.00330861368051777,1.09469244869093e-05
"Alexanin et al. (2010)_10",0.6335,559,0.747240854857209,0.0424094464839985,0.00179856115107914,"low","id_10",0.6335,0.0253895919997857,0.00064463138191558
"Bochkov (1993)_11",0.2732,560,0.280318679442961,0.0423713598607036,0.00179533213644524,"medium","id_11",0.2732,0.039208836134294,0.00153733283100592
"Aghajanyan & Suskov (2009)_1",0.833,15,1.19785771771147,0.288675134594813,0.0833333333333333,"medium","id_12",0.833,0.0883666341259528,0.00780866202675
"Aghajanyan & Suskov (2009)_2",0.2975,79,0.306774606916071,0.114707866935281,0.0131578947368421,"low","id_13",0.2975,0.10455550378734,0.0109318533722245
"Aghajanyan & Suskov (2009)_3",0.418,94,0.445266129680317,0.104828483672192,0.010989010989011,"low","id_14",0.418,0.0865124316910518,0.0074844008370989
"Aghajanyan & Suskov (2009)_4",0.3596,127,0.376426418349701,0.0898026510133875,0.00806451612903226,"low","id_15",0.3596,0.0781900762371201,0.00611368802196666
"Alexanin et al. (2010)_5",0.4015,127,0.425435922803408,0.0898026510133875,0.00806451612903226,"low","id_16",0.4015,0.0753262616140646,0.00567404568875051
"Alexanin et al. (2010)_6",0.1177,256,0.118248073581753,0.0628694613461931,0.00395256916996047,"low","id_17",0.1177,0.0619985124660205,0.0038438155479993
"Alexanin et al. (2010)_7",-0.1932,256,-0.195659123280268,0.0628694613461931,0.00395256916996047,"low","id_18",-0.1932,0.0605227807433144,0.00366300698890331
"Alexanin et al. (2010)_8",0.1409,256,0.141843686979156,0.0628694613461931,0.00395256916996047,"low","id_19",0.1409,0.0616213258752848,0.00379718780262805
"Alexanin et al. (2010)_9",0.0767,988,0.0768509390215445,0.0318626493938583,0.00101522842639594,"low","id_20",0.0767,0.0316752049323657,0.00100331860750736
"Alexanin et al. (2010)_10",0.7594,69,0.994796158638998,0.123091490979333,0.0151515151515152,"medium","id_21",0.7594,0.0521060609165066,0.00271504158423469
"Bochkov (1993)_11",0.0155,129,0.0155012414706296,0.0890870806374748,0.00793650793650794,"high","id_22",0.0155,0.0890656774663516,0.00793269490254018
"Aghajanyan & Suskov (2009)_1",-0.0539,129,-0.0539522881147463,0.0890870806374748,0.00793650793650794,"high","id_23",-0.0539,0.088828263959936,0.00789046047813606
"Aghajanyan & Suskov (2009)_2",0.0461,129,0.0461326990992764,0.0890870806374748,0.00793650793650794,"high","id_24",0.0461,0.0888977518828332,0.00790281028982178
"Aghajanyan & Suskov (2009)_3",0.4289,470,0.458547935402054,0.0462744813382748,0.00214132762312634,"low","id_25",0.4289,0.0377620494060513,0.00142597237534506
"Aghajanyan & Suskov (2009)_4",0.0783,442,0.0784606074442041,0.0477273959903348,0.00227790432801822,"low","id_26",0.0783000000000001,0.0474347845755316,0.00225005878772709
"Alexanin et al. (2010)_5",0.147,442,0.148072784818846,0.0477273959903348,0.00227790432801822,"low","id_27",0.147,0.0466960546903796,0.00218052152364692
"Alexanin et al. (2010)_6",0.14,442,0.140925576070494,0.0477273959903348,0.00227790432801822,"low","id_28",0.14,0.0467919390289242,0.00218948555808656
"Alexanin et al. (2010)_7",0.7478,57,0.967945354831312,0.136082763487954,0.0185185185185185,"high","id_29",0.7478,0.059984623504915,0.0035981550570264
"Alexanin et al. (2010)_8",0.8834,57,1.39104232957979,0.136082763487954,0.0185185185185185,"high","id_30",0.8834,0.0298843790694247,0.000893076112365067
"Alexanin et al. (2010)_9",0.8725,57,1.34345667539645,0.136082763487954,0.0185185185185185,"high","id_31",0.8725,0.0324889092654773,0.00105552922526042
"Alexanin et al. (2010)_10",0.7319,57,0.932807152746542,0.136082763487954,0.0185185185185185,"high","id_32",0.7319,0.0631862739805317,0.00399250521954282
"Bochkov (1993)_11",0.8008,63,1.10083847222101,0.129099444873581,0.0166666666666667,"low","id_33",0.8008,0.0463104702414061,0.00214465965398016
