author,cor,n,z,se.z,var.z,radiation,r,se.r,var.r
Aghajanyan & Suskov (2009),0.2061,91.0,0.20909489192906475,0.10660035817780521,0.011363636363636364,low,0.20609999999999998,0.10207227237741137,0.010418748788288457
Aghajanyan & Suskov (2009),0.2687,91.0,0.2754621304348235,0.10660035817780521,0.011363636363636364,low,0.26869999999999994,0.09890384536347871,0.009781970627682908
Aghajanyan & Suskov (2009),0.2049,92.0,0.20784198101089654,0.105999788000636,0.011235955056179775,low,0.20490000000000005,0.10154949184121942,0.010312299293209889
Aghajanyan & Suskov (2009),0.2672,92.0,0.27384610385012037,0.105999788000636,0.011235955056179775,low,0.26719999999999994,0.09843184409650868,0.00968882793223939
Alexanin et al. (2010),0.9317,559.0,1.6711229783177513,0.042409446483998546,0.0017985611510791368,low,0.9317,0.0055952949869054625,3.13073259904894e-05
Alexanin et al. (2010),0.4429,559.0,0.47583274963822025,0.042409446483998546,0.0017985611510791368,low,0.44290000000000007,0.03409039207382433,0.001162154831747065
Alexanin et al. (2010),0.8996,559.0,1.4701182047086687,0.042409446483998546,0.0017985611510791368,low,0.8996,0.008088322847916768,6.542096649213243e-05
Alexanin et al. (2010),0.9547,559.0,1.882342487734994,0.042409446483998546,0.0017985611510791368,low,0.9547,0.0037552678504149226,1.4102036628359913e-05
Alexanin et al. (2010),0.9602,559.0,1.9484674377723443,0.042409446483998546,0.0017985611510791368,low,0.9602,0.0033086136805177664,1.0946924486909321e-05
Alexanin et al. (2010),0.6335,559.0,0.7472408548572093,0.042409446483998546,0.0017985611510791368,low,0.6335,0.02538959199978566,0.00064463138191558
Bochkov (1993),0.2732,560.0,0.2803186794429609,0.042371359860703575,0.0017953321364452424,medium,0.27320000000000005,0.03920883613429401,0.0015373328310059197
Bochkov (1993),0.833,15.0,1.1978577177114749,0.2886751345948129,0.08333333333333333,medium,0.833,0.08836663412595279,0.007808662026750004
Dubrova et al. (1996),0.2975,79.0,0.30677460691607134,0.11470786693528087,0.013157894736842105,low,0.29749999999999993,0.10455550378734017,0.010931853372224505
Dubrova et al. (1997),0.418,94.0,0.4452661296803174,0.10482848367219183,0.01098901098901099,low,0.4179999999999999,0.0865124316910518,0.007484400837098904
Dubrova et al. (1998),0.3596,127.0,0.3764264183497006,0.08980265101338746,0.008064516129032258,low,0.3595999999999999,0.07819007623712014,0.006113688021966659
Dubrova et al. (1998),0.4015,127.0,0.42543592280340753,0.08980265101338746,0.008064516129032258,low,0.40149999999999997,0.07532626161406462,0.005674045688750505
Dubrova et al. (2002),0.1177,256.0,0.11824807358175334,0.06286946134619315,0.003952569169960474,low,0.11769999999999994,0.06199851246602054,0.0038438155479993043
Dubrova et al. (2002),-0.1932,256.0,-0.1956591232802684,0.06286946134619315,0.003952569169960474,low,-0.19320000000000004,0.060522780743314415,0.0036630069889033103
Dubrova et al. (2002),0.1409,256.0,0.14184368697915647,0.06286946134619315,0.003952569169960474,low,0.14090000000000005,0.06162132587528483,0.0037971878026280474
Forster et al. (2002),0.0767,988.0,0.07685093902154451,0.03186264939385831,0.0010152284263959391,low,0.07669999999999998,0.03167520493236567,0.0010033186075073623
Khandogina (2010),0.7594,69.0,0.9947961586389977,0.12309149097933272,0.015151515151515152,medium,0.7594,0.052106060916506554,0.002715041584234692
Kodaira et al. (2010),0.0155,129.0,0.0155012414706296,0.0890870806374748,0.007936507936507936,high,0.015500000000000028,0.08906567746635163,0.007932694902540177
Kodaira et al. (2010),-0.0539,129.0,-0.05395228811474627,0.0890870806374748,0.007936507936507936,high,-0.053900000000000024,0.088828263959936,0.007890460478136064
Kodaira et al. (2010),0.0461,129.0,0.046132699099276406,0.0890870806374748,0.007936507936507936,high,0.046100000000000016,0.08889775188283323,0.007902810289821779
Maznik & Vinnikov (2004),0.4289,470.0,0.45854793540205363,0.046274481338274755,0.0021413276231263384,low,0.42890000000000006,0.03776204940605134,0.001425972375345062
Neronova et al. (2003),0.0783,442.0,0.0784606074442041,0.047727395990334764,0.002277904328018223,low,0.07830000000000005,0.04743478457553158,0.002250058787727089
Neronova et al. (2003),0.147,442.0,0.14807278481884584,0.047727395990334764,0.002277904328018223,low,0.14700000000000005,0.04669605469037962,0.002180521523646925
Neronova et al. (2003),0.14,442.0,0.1409255760704939,0.047727395990334764,0.002277904328018223,low,0.14000000000000004,0.0467919390289242,0.0021894855580865597
Stepanova & Misharina (2001),0.7478,57.0,0.9679453548313124,0.13608276348795434,0.018518518518518517,high,0.7478,0.059984623504914986,0.0035981550570263992
Stepanova & Misharina (2001),0.8834,57.0,1.3910423295797854,0.13608276348795434,0.018518518518518517,high,0.8834,0.02988437906942466,0.0008930761123650667
Stepanova & Misharina (2001),0.8725,57.0,1.343456675396447,0.13608276348795434,0.018518518518518517,high,0.8725,0.03248890926547729,0.0010555292252604162
Stepanova & Misharina (2001),0.7319,57.0,0.932807152746542,0.13608276348795434,0.018518518518518517,high,0.7319,0.06318627398053168,0.003992505219542816
Weinberg et al. (2001),0.8008,63.0,1.100838472221012,0.12909944487358055,0.016666666666666666,low,0.8008,0.0463104702414061,0.00214465965398016
