radiation,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
medium,z,FE,0.3556687961583761,0.285940666213964,0.42165027657225806,7.113394737507724e-21,3,"11,12,21","11,12,21",3,0,1,0.13570961035829404
low,r,unweighted,0.39057391304347866,0.36433180719934954,0.4168160188876078,4.513428176880556e-187,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,2,0.05248421168825823
low,r,REML,0.3953935432063312,0.2594648961723609,0.5313221902403015,1.1896335227907023e-08,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,3,0.27185729406794057
high,z,FE,0.39946815580786676,0.3297944893806265,0.4648137165964604,6.3638050171397335e-25,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,4,0.13501922721583393
low,r,RE_DL,0.4117523923018713,0.3462802880664877,0.47722449653725485,6.549135157402119e-35,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,5,0.13094420847076715
all_radiation,r,unweighted,0.4270333333333342,0.40479797308957305,0.44926869357709537,0.0,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",33,1,6,0.04447072048752232
all_radiation,r,REML,0.4316856007569005,0.31291558427313687,0.550455617240664,1.0502739016661637e-12,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",33,1,7,0.23754003296752718
all_radiation,r,RE_DL,0.44627773801944665,0.38802158865046205,0.5045338873884312,5.898467360467158e-51,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",33,1,8,0.11651229873796914
high,r,unweighted,0.4633285714285719,0.41226098593060556,0.5143961569265383,9.664431334463862e-71,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,9,0.10213517099593272
high,r,REML,0.4693969508559241,0.1475254492718472,0.791268452440001,0.004259350017878359,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,10,0.6437430031681538
high,r,RE_DL,0.47331291263488734,0.22249032937965985,0.7241354958901148,0.00021684690976616087,7,"22,23,24,29,30,31,32","22,23,24,29,30,31,32",7,0,11,0.501645166510455
medium,r,FE,0.49185473184380235,0.4339794460717675,0.5497300176158372,2.7005514257680126e-62,3,"11,12,21","11,12,21",3,0,12,0.11575057154406965
low,z,unweighted,0.5048546210431012,0.4811773150157181,0.5277958586503559,1.2011841144941102e-265,23,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",23,0,13,0.046618543634637855
