"radiation","effect","ma_method","test","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"low","z","REML","z",0.430477541333146,0.145168827409802,0.649690934291013,0.00408234553431915,23,"1,2,4,5,6,7,8,11,12,14","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",10,0,1,0.50452210688121
"low","z","REML","t",0.430477541333146,0.127242845661342,0.660121582226814,0.00886137320415614,23,"1,2,4,5,6,7,8,11,12,14","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",10,0,2,0.532878736565471
"low","z","ML","t",0.431247008350464,0.141935635155531,0.65268069854738,0.00652963466673977,23,"1,2,4,5,6,7,8,11,12,14","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",10,0,3,0.510745063391849
"low","z","ML","z",0.431247008350464,0.159034322888269,0.642523280268965,0.00266216880697768,23,"1,2,4,5,6,7,8,11,12,14","1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,19,20,25,26,27,28,33",10,0,4,0.483488957380696
"all_radiation","z","REML","t",0.480121567400024,0.244889371987922,0.66197197984182,0.00046237317143794,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",14,1,5,0.417082607853898
"all_radiation","z","REML","z",0.480121567400024,0.254567892886547,0.656133253541846,9.58593074485889e-05,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",14,1,6,0.401565360655299
"all_radiation","z","ML","t",0.480263514325758,0.253134462546495,0.657214580603506,0.000322672217768233,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",14,1,7,0.404080118057011
"all_radiation","z","ML","z",0.480263514325758,0.262467131662776,0.651498119675519,5.59799958814435e-05,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",14,1,8,0.389030988012743
"high","z","ML","t",0.522576780003108,-0.397275812967097,0.918627831639737,0.205835151427947,7,"10,13","22,23,24,29,30,31,32",2,0,9,1.31590364460683
"high","z","ML","z",0.522576780003108,-0.217802148978261,0.881198177723601,0.156044312366446,7,"10,13","22,23,24,29,30,31,32",2,0,10,1.09900032670186
"high","z","REML","t",0.522870638987483,-0.682800060548449,0.963665897867549,0.354256188861403,7,"10,13","22,23,24,29,30,31,32",2,0,11,1.646465958416
"high","z","REML","z",0.522870638987483,-0.502633605906027,0.937061974529926,0.315508819561105,7,"10,13","22,23,24,29,30,31,32",2,0,12,1.43969558043595
"medium","z","ML","z",0.643475312988011,0.296817231019058,0.840284060066339,0.00107773015292552,3,"3,9","11,12,21",2,0,13,0.54346682904728
"medium","z","ML","t",0.643475312988011,-0.236889759451767,0.943570092271285,0.082185491504845,3,"3,9","11,12,21",2,0,14,1.18045985172305
"medium","z","REML","z",0.654111244424747,0.219542774943023,0.872086246043305,0.00610520889751385,3,"3,9","11,12,21",2,0,15,0.652543471100282
"medium","z","REML","t",0.654111244424747,-0.418036226898215,0.96474200475153,0.111240440988587,3,"3,9","11,12,21",2,0,16,1.38277823164975
