"rank","obs","boot_lb","boot_ub"
1,-0.266053306444329,-0.12192957275985,-0.0106725410454741
2,-0.266053306444329,-0.12132601915008,-0.0106721344790682
3,-0.255134099788663,-0.12132601915008,-0.0105690179097391
4,-0.255134099788663,-0.121326016978345,-0.0105690175564479
5,-0.222034605265364,-0.0591219581527961,-0.00724731597068546
6,-0.222034605265364,-0.0590847729109007,-0.00724724961864911
7,-0.221242643078589,-0.0527255858592572,-0.00361543337602085
8,-0.221242643078589,-0.0526766364339264,-0.00361543250265305
9,-0.204077486147095,-0.0333880823657633,-0.00192835326589889
10,-0.204077486147095,-0.0333823270399165,-0.00192835326589889
11,-0.203650438455193,-0.0329886079499773,-0.00103676786362927
12,-0.203650438455193,-0.0329886079471724,-0.0010367667293766
13,-0.161820273260985,-0.0250553371377136,0.000274258261460227
14,-0.161820273260985,-0.0250529817658191,0.000274258267150761
15,-0.156415694511554,-0.0238927539368218,0.000629193347756522
16,-0.156415694511554,-0.0238927538785686,0.000629193479488648
17,-0.155948883965075,-0.0191153790238154,0.00183913654544945
18,-0.155948883965075,-0.0191143560731819,0.00183913777293311
19,-0.155741445254574,-0.019062150340323,0.00207325403140844
20,-0.155741445254574,-0.019060861115876,0.00207325516343133
21,-0.155594395742282,-0.0173723794314559,0.00313523426854488
22,-0.155594395742282,-0.0173714524024532,0.00313524533478828
23,-0.155092670175338,-0.0172531566852093,0.00438798325452189
24,-0.155092670175338,-0.0172531511644829,0.00438801205925802
25,-0.154130045778867,-0.014544057354978,0.00517825025479348
26,-0.154130045778867,-0.014544057354978,0.00517825025479348
27,-0.154110519886958,-0.0138019365621057,0.00621620827784869
28,-0.154110519886958,-0.0138013083645133,0.00621625568194045
29,-0.153011563740819,-0.00863656705493937,0.00665297091362224
30,-0.153011563740819,-0.0086363523180524,0.00665302552179653
31,-0.150139788806817,-0.00793076450689945,0.00723108258144037
32,-0.150139788806817,-0.00793059822352753,0.00723108258144037
33,-0.150006046163709,-0.00613868749936086,0.00817280005004856
34,-0.150006046163709,-0.00613864669761085,0.00817286975844294
35,-0.149603010367555,-0.00609691736840831,0.00863958007184874
36,-0.149603010367555,-0.00609688260143436,0.00863970110749704
37,-0.117394985100471,-0.00423209886837771,0.00946191490391629
38,-0.117394985100471,-0.00423208727689842,0.00946207666376993
39,-0.116297129369333,-0.00359008452423019,0.010750700467984
40,-0.116297129369333,-0.00359007151877333,0.0107507010311008
41,-0.109542519683241,-0.00215922169138935,0.011946779291476
42,-0.109542519683241,-0.0021592199205775,0.0119467794309692
43,-0.109542519683152,-0.0016360872536205,0.01449103093727
44,-0.109542519683152,-0.00163608557142387,0.0144920459497523
45,-0.0940392099406805,-0.000887435847041318,0.0165138163248434
46,-0.0940392099406805,-0.000887435675245406,0.0165138163248434
47,-0.0934052995973381,-0.000771453526660278,0.0169585406255493
48,-0.0934052995973381,-0.000771453503665452,0.0169593057505103
49,-0.0411140216727635,0.00034424384386177,0.0190654109837031
50,-0.0411140216727635,0.00034424384386177,0.0190654109837031
51,-0.0411107265467795,0.0011267366580286,0.0265742578910507
52,-0.0411107265467795,0.00112673710519172,0.0265763073269272
53,-0.0378498639962514,0.00210994777631309,0.0325470966989736
54,-0.0378498639962514,0.00210994866426505,0.0325470966989736
55,-0.0334198081182665,0.00295381734534116,0.0367493327254428
56,-0.0334198081182665,0.00295382532652057,0.0367548498700531
57,0.0223579504682406,0.00556036943462374,0.0525936481759289
58,0.0223579504682406,0.0055603985358453,0.0525936481759289
59,0.0245635456764931,0.00685351005929446,0.0549019003748362
60,0.0245635456764931,0.00685356374855935,0.0549314289214277
61,0.0299432047027817,0.0106833663158721,0.0711739191137325
62,0.0299432047027817,0.0106835682247375,0.0712380443769199
63,0.0406601166065829,0.0141828903126783,0.0946631106751677
64,0.0406601166065829,0.0141838640279151,0.0948315254562975
