religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
Beliefs,Non-College,unpublished,z,unweighted,-0.30831709829503207,-0.39922413983699667,-0.21140697557422466,1.9310315615762415e-09,5,"4,5,7,13,17","4,5,7,13,17",5,0,1,0.187817164262772
Beliefs,Non-College,unpublished,r,unweighted,-0.30200000000000027,-0.3891473689673085,-0.21485263103269203,1.1055266019043277e-11,5,"4,5,7,13,17","4,5,7,13,17",5,0,2,0.17429473793461647
Beliefs,Non-College,unpublished,r,REML,-0.2709029656765416,-0.415674441968253,-0.12613148938483018,0.0002448630036024931,5,"4,5,7,13,17","4,5,7,13,17",5,0,3,0.2895429525834228
Beliefs,Non-College,unpublished,r,RE_DL,-0.2673544219995697,-0.40415963416049305,-0.1305492098386464,0.00012798699423151427,5,"4,5,7,13,17","4,5,7,13,17",5,0,4,0.2736104243218467
Beliefs,Non-College,unpublished,z,REML,-0.2660452464834581,-0.40211057213334117,-0.11848276550965813,0.0005026400474329501,5,"4,5,7,13,17","4,5,7,13,17",5,0,5,0.28362780662368303
Beliefs,Non-College,unpublished,z,RE_DL,-0.260876122349755,-0.3889527456888086,-0.12290649871717606,0.0002653367854974652,5,"4,5,7,13,17","4,5,7,13,17",5,0,6,0.26604624697163254
Beliefs,Non-College,all_publicationstatus,z,unweighted,-0.21588007644996093,-0.24818444437223772,-0.18309609405069718,2.4173772457051616e-36,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,7,0.06508835032154053
Beliefs,Non-College,published,r,FE,-0.207290771594366,-0.21449970625123682,-0.2000818369374952,0.0,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,8,0.014417869313741616
Beliefs,Non-College,all_publicationstatus,r,unweighted,-0.20281818181818212,-0.23271649487329554,-0.1729198687630687,2.454607812008989e-40,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,9,0.05979662611022685
Beliefs,Non-College,all_publicationstatus,z,REML,-0.20222196934343248,-0.28151286165960515,-0.12018819193588097,1.8542834869943064e-06,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,10,0.16132466972372417
Beliefs,Non-College,published,z,FE,-0.2010675154608198,-0.20834676826956977,-0.19376598882298196,0.0,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,11,0.01458077944658781
Beliefs,Non-College,all_publicationstatus,r,REML,-0.19973915176246942,-0.2778369320451982,-0.12164137147974065,5.366868200562632e-07,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,12,0.15619556056545758
Beliefs,Non-College,all_publicationstatus,r,RE_DL,-0.19669828926256686,-0.25155149451581515,-0.14184508400931853,2.091529647736324e-12,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,13,0.10970641050649663
mixed,College,published,r,FE,-0.19481789758281964,-0.21419898253137115,-0.17543681263426814,2.094071853900487e-86,5,"31,49,54,79,91","31,49,54,79,91",5,0,14,0.038762169897103016
mixed,College,published,z,FE,-0.1944505462059156,-0.21377458430077106,-0.17497439035572054,1.0911976666555507e-81,5,"31,49,54,79,91","31,49,54,79,91",5,0,15,0.03880019394505052
Beliefs,Non-College,all_publicationstatus,r,FE,-0.19140108679699758,-0.19802280599312566,-0.1847793676008695,0.0,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,16,0.013243438392256168
Beliefs,Non-College,all_publicationstatus,z,RE_DL,-0.1905737660121914,-0.2428783231696,-0.13716432380020357,5.6564180948539704e-12,22,"4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",22,0,17,0.10571399936939643
Beliefs,Non-College,published,z,unweighted,-0.18785135096782135,-0.2184129719331517,-0.15692160146617726,1.4715420922590928e-31,17,"29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",17,0,18,0.06149137046697445
