"religiosityMeasure","sample","publicationstatus","effect","ma_method","test","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"Beliefs","Non-College","unpublished","z","REML","z-test",-0.266053306444329,-0.402131951659242,-0.11847472435586,0.000503147845432739,5,"2,3,5,10,13","4,5,7,13,17",5,0,1,0.283657227303383
"Beliefs","Non-College","unpublished","z","REML","t-test",-0.266053306444329,-0.454348953308372,-0.0550007641471537,0.0253733100873985,5,"2,3,5,10,13","4,5,7,13,17",5,0,2,0.399348189161218
"Beliefs","Non-College","unpublished","z","ML","z-test",-0.255134099788663,-0.375394835753059,-0.126425191876716,0.000132384598129328,5,"2,3,5,10,13","4,5,7,13,17",5,0,3,0.248969643876343
"Beliefs","Non-College","unpublished","z","ML","t-test",-0.255134099788663,-0.422246652599623,-0.0712495576150894,0.0187464493931501,5,"2,3,5,10,13","4,5,7,13,17",5,0,4,0.350997094984533
"Beliefs","Non-College","all_publicationstatus","z","REML","z-test",-0.222034605265364,-0.311786806651935,-0.128355080458226,4.75773431342882e-06,22,"2,3,5,10,13,24,31,36,46,58,73,77,78,80,82,83,86,89,90","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",19,0,5,0.183431726193709
"Beliefs","Non-College","all_publicationstatus","z","REML","t-test",-0.222034605265364,-0.317107883689056,-0.122543064433653,0.000164326341321455,22,"2,3,5,10,13,24,31,36,46,58,73,77,78,80,82,83,86,89,90","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",19,0,6,0.194564819255403
"Beliefs","Non-College","all_publicationstatus","z","ML","t-test",-0.221242643078589,-0.313226178780967,-0.125146564135657,0.000116905285475237,22,"2,3,5,10,13,24,31,36,46,58,73,77,78,80,82,83,86,89,90","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",19,0,7,0.18807961464531
"Beliefs","Non-College","all_publicationstatus","z","ML","z-test",-0.221242643078589,-0.308071818574236,-0.130758067287269,2.37989061591836e-06,22,"2,3,5,10,13,24,31,36,46,58,73,77,78,80,82,83,86,89,90","4,5,7,13,17,29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",19,0,8,0.177313751286967
"Beliefs","Non-College","published","z","REML","t-test",-0.204077486147095,-0.325963986247441,-0.0755173616999628,0.00414266234620891,17,"24,31,36,46,58,73,77,78,80,82,83,86,89,90","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",14,0,9,0.250446624547478
"Beliefs","Non-College","published","z","REML","z-test",-0.204077486147095,-0.317080413243733,-0.0853610846888658,0.000833897412601156,17,"24,31,36,46,58,73,77,78,80,82,83,86,89,90","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",14,0,10,0.231719328554867
"Beliefs","Non-College","published","z","ML","t-test",-0.203650438455193,-0.320191322165858,-0.0810376448826869,0.00300311156896676,17,"24,31,36,46,58,73,77,78,80,82,83,86,89,90","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",14,0,11,0.239153677283171
"Beliefs","Non-College","published","z","ML","z-test",-0.203650438455193,-0.311679944754719,-0.0904233175119536,0.000476338762659643,17,"24,31,36,46,58,73,77,78,80,82,83,86,89,90","29,37,43,55,68,69,84,89,90,92,93,95,96,99,100,104,105",14,0,12,0.221256627242766
"mixed","College","published","z","ML","z-test",-0.161820273260985,-0.23109002105596,-0.0909182669075524,9.04485171447527e-06,5,"26,41,45,68,79","31,49,54,79,91",5,0,13,0.140171754148407
"mixed","College","published","z","ML","t-test",-0.161820273260985,-0.259311335056305,-0.0610646805503037,0.0113441999815101,5,"26,41,45,68,79","31,49,54,79,91",5,0,14,0.198246654506002
"mixed","Non-College","published","z","REML","t-test",-0.156415694511554,-0.198649476424385,-0.113602070398813,1.85265868883497e-05,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,15,0.0850474060255723
"mixed","Non-College","published","z","REML","z-test",-0.156415694511554,-0.193046505988285,-0.119349478805778,2.84464405498461e-16,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,16,0.0736970271825069
"Beliefs","College","published","z","REML","t-test",-0.155948883965075,-0.208896006127423,-0.102090163987224,2.05579163032445e-06,31,"14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",26,0,17,0.106805842140198
"Beliefs","College","published","z","REML","z-test",-0.155948883965075,-0.20678342587971,-0.104274614998922,4.59251050274072e-09,31,"14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",26,0,18,0.102508810880788
"Beliefs","College","published","z","ML","z-test",-0.155741445254574,-0.205323576977178,-0.10536191142637,1.93493137487348e-09,31,"14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",26,0,19,0.0999616655508079
"Beliefs","College","published","z","ML","t-test",-0.155741445254574,-0.207384765623486,-0.10323246806606,1.38194912407069e-06,31,"14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",26,0,20,0.104152297557426
"mixed","College","published","z","REML","t-test",-0.155594395742282,-0.279675473934587,-0.0264010556199702,0.0288777852412914,5,"26,41,45,68,79","31,49,54,79,91",5,0,21,0.253274418314617
"mixed","College","published","z","REML","z-test",-0.155594395742282,-0.243945155597004,-0.0646821007221609,0.000842514230501374,5,"26,41,45,68,79","31,49,54,79,91",5,0,22,0.179263054874843
"mixed","Non-College","published","z","ML","t-test",-0.155092670175338,-0.193240183038938,-0.116476963599383,8.62121374007562e-06,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,23,0.0767632194395545
"mixed","Non-College","published","z","ML","z-test",-0.155092670175338,-0.188175217415186,-0.121658575550594,2.48716840404942e-19,10,"41,60,61,62,65,66,70,71,75,87","50,71,72,73,76,77,81,82,86,101",10,0,24,0.0665166418645918
"Behavior","Non-College","published","z","REML","t-test",-0.154130045778867,-0.228194035250408,-0.0782924776384408,0.00348858957111853,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,25,0.149901557611967
"Behavior","Non-College","published","z","REML","z-test",-0.154130045778867,-0.210804364773441,-0.0964230274368193,2.0742274354914e-07,6,"28,32,47,76,81","33,38,56,87,88,94",5,0,26,0.114381337336622
"mixed","Non-College","all_publicationstatus","z","REML","z-test",-0.154110519886958,-0.186526195995025,-0.121359663075382,7.54718307518114e-20,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,27,0.0651665329196433
"mixed","Non-College","all_publicationstatus","z","REML","t-test",-0.154110519886958,-0.190931758818928,-0.11685619272716,3.6746985194962e-06,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,28,0.074075566091768
"mixed","Non-College","all_publicationstatus","z","ML","t-test",-0.153011563740819,-0.186469348299221,-0.119199280369207,1.62858756277304e-06,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,29,0.0672700679300145
"mixed","Non-College","all_publicationstatus","z","ML","z-test",-0.153011563740819,-0.182463631954295,-0.123285147744991,1.98964971330372e-23,11,"9,41,60,61,62,65,66,70,71,75,87","12,50,71,72,73,76,77,81,82,86,101",11,0,30,0.0591784842093036
"Beliefs","College","all_publicationstatus","z","REML","z-test",-0.150139788806817,-0.196327916817169,-0.103286854960867,4.79465683594e-10,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,31,0.0930410618563027
"Beliefs","College","all_publicationstatus","z","REML","t-test",-0.150139788806817,-0.198016042241082,-0.101548869665987,4.39324077322062e-07,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,32,0.0964671725750959
"Beliefs","College","all_publicationstatus","z","ML","t-test",-0.150006046163709,-0.196803476804209,-0.102526669792421,2.90285486311756e-07,35,"4,8,11,14,15,16,18,19,20,21,22,23,27,29,33,34,35,43,48,49,51,52,55,56,64,69,72,74,88","6,11,14,15,18,19,20,22,23,24,25,26,27,28,32,34,35,39,40,41,42,52,57,58,60,61,62,65,66,75,80,83,85,102,103",29,0,33,0.0942768070117876
