sex,method,age_group,sample,race,published_estimate,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
men,image,adults,healthy,white,no,r,FE,-0.046936258032686376,-0.24133340132453068,0.1474608852591579,0.6360534445214706,2,"2,4","2,4",2,0,1,0.3887942865836886
men,image,adults,healthy,white,no,r,REML,-0.046936258032686376,-0.24133340132453068,0.1474608852591579,0.6360534445214706,2,"2,4","2,4",2,0,2,0.3887942865836886
men,image,adults,healthy,white,no,r,RE_DL,-0.046936258032686376,-0.24133340132453068,0.1474608852591579,0.6360534445214706,2,"2,4","2,4",2,0,3,0.3887942865836886
men,image,adults,healthy,white,no,z,FE,-0.04683613854166053,-0.23728404030085945,0.1470787497077066,0.63761074326864,2,"2,4","2,4",2,0,4,0.38436279000856605
men,image,adults,healthy,white,no,z,RE_DL,-0.04683613854166053,-0.23728404030085945,0.1470787497077066,0.63761074326864,2,"2,4","2,4",2,0,5,0.38436279000856605
men,image,adults,healthy,white,no,z,REML,-0.04683613854166053,-0.23728404030085945,0.1470787497077066,0.63761074326864,2,"2,4","2,4",2,0,6,0.38436279000856605
men,image,adults,healthy,white,no,z,unweighted,-0.034290271749973546,-0.23917409745121687,0.1735168990118817,0.7483755536853698,2,"2,4","2,4",2,0,7,0.4126909964630986
men,image,adults,healthy,white,no,r,unweighted,-0.03425,-0.2435331000818822,0.1750331000818822,0.7483954635823656,2,"2,4","2,4",2,0,8,0.4185662001637644
men,image,adults,all_sample,white,no,r,FE,-0.02873549547142485,-0.18289016456328008,0.1254191736204304,0.714849540476387,3,"2,4,5","2,4,5",3,0,9,0.3083093381837105
men,image,adults,all_sample,white,no,r,RE_DL,-0.02873549547142485,-0.18289016456328008,0.1254191736204304,0.714849540476387,3,"2,4,5","2,4,5",3,0,10,0.3083093381837105
men,image,adults,all_sample,white,no,r,REML,-0.02873549547142485,-0.18289016456328008,0.1254191736204304,0.714849540476387,3,"2,4,5","2,4,5",3,0,11,0.3083093381837105
men,image,adults,all_sample,white,no,z,FE,-0.0286127674715703,-0.18106868724172434,0.12518604974341577,0.7164895161415157,3,"2,4,5","2,4,5",3,0,12,0.3062547369851401
men,image,adults,all_sample,white,no,z,REML,-0.0286127674715703,-0.18106868724172434,0.12518604974341577,0.7164895161415157,3,"2,4,5","2,4,5",3,0,13,0.3062547369851401
men,image,adults,all_sample,white,no,z,RE_DL,-0.0286127674715703,-0.18106868724172434,0.12518604974341577,0.7164895161415157,3,"2,4,5","2,4,5",3,0,14,0.3062547369851401
all_sex,image,adults,healthy,white,no,r,FE,-0.027958457602701273,-0.17799334325208224,0.1220764280466797,0.7149380909065339,3,"2,3,4","2,3,4",3,0,15,0.30006977129876194
all_sex,image,adults,healthy,white,no,r,RE_DL,-0.027958457602701273,-0.17799334325208224,0.1220764280466797,0.7149380909065339,3,"2,3,4","2,3,4",3,0,16,0.30006977129876194
all_sex,image,adults,healthy,white,no,r,REML,-0.027958457602701273,-0.17799334325208224,0.1220764280466797,0.7149380909065339,3,"2,3,4","2,3,4",3,0,17,0.30006977129876194
all_sex,image,adults,healthy,white,no,z,FE,-0.027839354523308896,-0.17630728566353718,0.12186708519200817,0.7165491644296591,3,"2,3,4","2,3,4",3,0,18,0.2981743708555453
all_sex,image,adults,healthy,white,no,z,RE_DL,-0.027839354523308896,-0.17630728566353718,0.12186708519200817,0.7165491644296591,3,"2,3,4","2,3,4",3,0,19,0.2981743708555453
all_sex,image,adults,healthy,white,no,z,REML,-0.027839354523308896,-0.17630728566353718,0.12186708519200817,0.7165491644296591,3,"2,3,4","2,3,4",3,0,20,0.2981743708555453
women,image,non-adults,healthy,white,yes,z,unweighted,-0.02766763571510525,-0.10933631881077673,0.05437208191426501,0.5088231514577455,5,"8,13,24,29,31","8,13,24,29,31",5,0,21,0.16370840072504173
men,direct,adults,healthy,white,yes,z,FE,-0.02754819997374495,-0.09693810300560216,0.04210821109495629,0.43835055975794346,3,"1,17,20","1,17,20",3,0,22,0.13904631410055845
women,image,non-adults,healthy,white,yes,r,unweighted,-0.02660000000000003,-0.10565146648239737,0.05245146648239732,0.5095698750490505,5,"8,13,24,29,31","8,13,24,29,31",5,0,23,0.1581029329647947
