"sex","method","age_group","sample","race","published_estimate","effect","ma_method","test","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","image","adults","healthy","white","no","z","REML","z-test",-0.0468361385395849,-0.237284040318851,0.14707874973043,0.63761074332004,2,"2,3","2,4",2,0,1,0.384362790049281
"men","image","adults","healthy","white","no","z","REML","t-test",-0.0468361385395849,-0.864574958113617,0.838898642093314,0.719751055539568,2,"2,3","2,4",2,0,2,1.70347360020693
"men","image","adults","healthy","white","no","z","ML","t-test",-0.046836138539222,-0.864574958119578,0.838898642100522,0.719751055546125,2,"2,3","2,4",2,0,3,1.7034736002201
"men","image","adults","healthy","white","no","z","ML","z-test",-0.046836138539222,-0.237284040321997,0.147078749734403,0.637610743329027,2,"2,3","2,4",2,0,4,0.3843627900564
"men","image","adults","all_sample","white","no","z","ML","t-test",-0.0286127674701596,-0.351993287811198,0.300870033333932,0.751280481454282,3,"2,3","2,4,5",2,0,5,0.65286332114513
"men","image","adults","all_sample","white","no","z","ML","z-test",-0.0286127674701596,-0.181068687260797,0.125186049765605,0.716489516192006,3,"2,3","2,4,5",2,0,6,0.306254737026402
"men","image","adults","all_sample","white","no","z","REML","z-test",-0.0286127674656533,-0.181068687323959,0.125186049838763,0.716489516357352,3,"2,3","2,4,5",2,0,7,0.306254737162722
"men","image","adults","all_sample","white","no","z","REML","t-test",-0.0286127674656533,-0.351993287941516,0.300870033477418,0.751280481596507,3,"2,3","2,4,5",2,0,8,0.652863321418934
"all_sex","image","adults","healthy","white","no","z","REML","t-test",-0.0278393545277427,-0.34331439711138,0.29328061334365,0.75133178928727,3,"2,3","2,3,4",2,0,9,0.63659501045503
"all_sex","image","adults","healthy","white","no","z","REML","z-test",-0.0278393545277427,-0.176307285721582,0.121867085242283,0.716549164486521,3,"2,3","2,3,4",2,0,10,0.298174370963864
"all_sex","image","adults","healthy","white","no","z","ML","t-test",-0.027839354524302,-0.343314397040595,0.293280613276604,0.751331789261825,3,"2,3","2,3,4",2,0,11,0.636595010317199
"all_sex","image","adults","healthy","white","no","z","ML","z-test",-0.027839354524302,-0.176307285684349,0.121867085211211,0.71654916445694,3,"2,3","2,3,4",2,0,12,0.29817437089556
"men","direct","adults","healthy","white","yes","z","ML","z-test",-0.0275481999588583,-0.0969381030158009,0.0421082111349766,0.43835056017109,3,"1,12,14","1,17,20",3,0,13,0.139046314150778
"men","direct","adults","healthy","white","yes","z","ML","t-test",-0.0275481999588583,-0.178603588155325,0.124775884713111,0.519431958899757,3,"1,12,14","1,17,20",3,0,14,0.303379472868436
"men","direct","adults","all_sample","white","yes","z","ML","z-test",-0.024496976829918,-0.0910444558186281,0.0422683160393415,0.472169408700139,4,"1,12,14","1,17,19,20",3,0,15,0.13331277185797
"men","direct","adults","all_sample","white","yes","z","ML","t-test",-0.024496976829918,-0.13218136655623,0.0837589013030205,0.524110136272706,4,"1,12,14","1,17,19,20",3,0,16,0.215940267859251
"all_sex","image","adults","all_sample","white","no","z","ML","z-test",-0.0200317257211575,-0.148171728352035,0.108769774574617,0.761252223792546,4,"2,3","2,3,4,5",2,0,17,0.256941502926653
"all_sex","image","adults","all_sample","white","no","z","ML","t-test",-0.0200317257211575,-0.225913246993582,0.187562789817909,0.781106728818888,4,"2,3","2,3,4,5",2,0,18,0.413476036811491
"all_sex","image","adults","all_sample","white","no","z","REML","z-test",-0.0200317257209019,-0.148171728362306,0.1087697745855,0.761252223814768,4,"2,3","2,3,4,5",2,0,19,0.256941502947806
"all_sex","image","adults","all_sample","white","no","z","REML","t-test",-0.0200317257209019,-0.225913247009915,0.187562789835008,0.781106728839068,4,"2,3","2,3,4,5",2,0,20,0.413476036844922
"men","all_method","adults","healthy","white","all_published_estimate","z","ML","z-test",-0.0190485239185648,-0.0712746308811298,0.0332817402964874,0.475644240945053,10,"1,2,3,4,7,8,12,13,14,18","1,2,4,6,10,11,17,18,20,25",10,0,21,0.104556371177617
"men","all_method","adults","healthy","white","all_published_estimate","z","ML","t-test",-0.0190485239185648,-0.0792995304691637,0.0413411505289583,0.493724488815979,10,"1,2,3,4,7,8,12,13,14,18","1,2,4,6,10,11,17,18,20,25",10,0,22,0.120640680998122
"men","all_method","adults","healthy","white","all_published_estimate","z","REML","t-test",-0.0190485238831306,-0.0792995304770965,0.0413411506077006,0.493724489900661,10,"1,2,3,4,7,8,12,13,14,18","1,2,4,6,10,11,17,18,20,25",10,0,23,0.120640681084797
"men","all_method","adults","healthy","white","all_published_estimate","z","REML","z-test",-0.0190485238831306,-0.0712746308833,0.0332817403694819,0.475644242083397,10,"1,2,3,4,7,8,12,13,14,18","1,2,4,6,10,11,17,18,20,25",10,0,24,0.104556371252782
"all_sex","all_method","adults","healthy","white","all_published_estimate","z","ML","z-test",-0.0181552185312582,-0.0691491358401167,0.0329333261008258,0.486181599652855,11,"1,2,3,4,7,8,12,13,14,18","1,2,3,4,6,10,11,17,18,20,25",10,0,25,0.102082461940943
"all_sex","all_method","adults","healthy","white","all_published_estimate","z","ML","t-test",-0.0181552185312582,-0.0761043920035987,0.0399161867476051,0.502046979501515,11,"1,2,3,4,7,8,12,13,14,18","1,2,3,4,6,10,11,17,18,20,25",10,0,26,0.116020578751204
"all_sex","all_method","adults","healthy","white","all_published_estimate","z","REML","t-test",-0.0181552184932564,-0.0761043920097569,0.0399161868296969,0.502046980693805,11,"1,2,3,4,7,8,12,13,14,18","1,2,3,4,6,10,11,17,18,20,25",10,0,27,0.116020578839454
"all_sex","all_method","adults","healthy","white","all_published_estimate","z","REML","z-test",-0.0181552184932564,-0.0691491358409858,0.0329333261776443,0.486181600897458,11,"1,2,3,4,7,8,12,13,14,18","1,2,3,4,6,10,11,17,18,20,25",10,0,28,0.10208246201863
"men","all_method","adults","all_sample","white","all_published_estimate","z","ML","z-test",-0.0168934564895388,-0.0668698650773977,0.0331675065967633,0.508429025800207,12,"1,2,3,4,7,8,12,13,14,18","1,2,4,5,6,10,11,17,18,19,20,25",10,0,29,0.100037371674161
"men","all_method","adults","all_sample","white","all_published_estimate","z","ML","t-test",-0.0168934564895388,-0.0729975327279365,0.039317202165706,0.522039085341904,12,"1,2,3,4,7,8,12,13,14,18","1,2,4,5,6,10,11,17,18,19,20,25",10,0,30,0.112314734893642
"men","all_method","adults","all_sample","white","all_published_estimate","z","REML","t-test",-0.0168934564388988,-0.0729975327327928,0.0393172022717332,0.522039086968966,12,"1,2,3,4,7,8,12,13,14,18","1,2,4,5,6,10,11,17,18,19,20,25",10,0,31,0.112314735004526
"men","all_method","adults","all_sample","white","all_published_estimate","z","REML","z-test",-0.0168934564388988,-0.0668698650762038,0.0331675066967628,0.50842902749021,12,"1,2,3,4,7,8,12,13,14,18","1,2,4,5,6,10,11,17,18,19,20,25",10,0,32,0.100037371772967
"men","all_method","adults","healthy","white","yes","z","ML","t-test",-0.0168895142924559,-0.082262471040956,0.0486281621627731,0.561601954984586,8,"1,4,7,8,12,13,14,18","1,6,10,11,17,18,20,25",8,0,33,0.130890633203729
"men","all_method","adults","healthy","white","yes","z","ML","z-test",-0.0168895142924559,-0.0711096235007528,0.0374301098368851,0.542357284479579,8,"1,4,7,8,12,13,14,18","1,6,10,11,17,18,20,25",8,0,34,0.108539733337638
"men","all_method","adults","healthy","white","yes","z","REML","z-test",-0.0168402856139696,-0.0711105378430448,0.0375293745583846,0.543906801114019,8,"1,4,7,8,12,13,14,18","1,6,10,11,17,18,20,25",8,0,35,0.108639912401429
