"","Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow"
"1","Russ et al. (2017)","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M. (2017). Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade. Epidemiology, 28(3). https://doi.org/10.1097/EDE.0000000000000626","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M.","Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade","https://doi.org/10.1097/EDE.0000000000000626",2017,"Epidemiology","T.C.Russ@ed.ac.uk",55,9.16666666666667,"English","Journal article","Published","Royal Edinburgh Hospital",NA,15764,0,15764,0,13645,2119,11,80,0,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Median provided for age at health measurement; subjects were followed up from the age of 65; subjects that had died before that age were excluded","Moray House Test",NA,NA,NA,"Dementia and MCI","Scottish Morbidity Records","Register data",NA,"HR",1.13,1.08,1.18,NA,1.13,0.122217632724249,0.0769610411361284,0.165514438477573,0.00051031498468814,0.0225901523830217,"school, county, county SES",3,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",1,1,69,57,90,"Scottish Mental Survey 1932","Multivariate","Yes","Dementia and MCI",NA,"Russ et al. (2017)",0.0769610411361284,0.165514438477573,NA,NA
"2","Russ et al. (2017)","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M. (2017). Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade. Epidemiology, 28(3). https://doi.org/10.1097/EDE.0000000000000626","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M.","Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade","https://doi.org/10.1097/EDE.0000000000000626",2017,"Epidemiology","T.C.Russ@ed.ac.uk",55,9.16666666666667,"English","Journal article","Published","Royal Edinburgh Hospital",NA,16097,0,16097,0,13934,2163,11,80,0,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Median provided for age at health measurement; subjects were followed up from the age of 65; subjects that had died before that age were excluded","Moray House Test",NA,NA,NA,"Dementia and MCI","Scottish Morbidity Records","Register data",NA,"HR",1.14,1.09,1.19,NA,1.14,0.131028262406404,0.0861776962410524,0.173953307123438,0.000501389906925237,0.0223917374699963,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",1,2,69,57,90,"Scottish Mental Survey 1932","None","No","Dementia and MCI",NA,"Russ et al. (2017)",0.0861776962410524,0.173953307123438,NA,NA
"3","Russ et al. (2017)","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M. (2017). Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade. Epidemiology, 28(3). https://doi.org/10.1097/EDE.0000000000000626","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M.","Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade","https://doi.org/10.1097/EDE.0000000000000626",2017,"Epidemiology","T.C.Russ@ed.ac.uk",55,9.16666666666667,"English","Journal article","Published","Royal Edinburgh Hospital",NA,16039,16039,0,100,14827,1212,11,80,0,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Median provided for age at health measurement; subjects were followed up from the age of 65; subjects that had died before that age were excluded","Moray House Test",NA,NA,NA,"Dementia and MCI","Scottish Morbidity Records","Register data",NA,"HR",1.03,0.97,1.09,NA,1.03,0.0295588022415444,-0.0304592074847086,0.0861776962410524,0.000885319093003725,0.029754312174939,"school, county, county SES",3,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",1,3,69,57,90,"Scottish Mental Survey 1932","Multivariate","Yes","Dementia and MCI",NA,"Russ et al. (2017)",-0.0304592074847086,0.0861776962410524,NA,NA
"4","Russ et al. (2017)","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M. (2017). Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade. Epidemiology, 28(3). https://doi.org/10.1097/EDE.0000000000000626","Russ, T. C., Hannah, J., Batty, G. D., Booth, C. C., Deary, I. J., & Starr, J. M.","Childhood Cognitive Ability and Incident Dementia: The 1932 Scottish Mental Survey Cohort into their 10th Decade","https://doi.org/10.1097/EDE.0000000000000626",2017,"Epidemiology","T.C.Russ@ed.ac.uk",55,9.16666666666667,"English","Journal article","Published","Royal Edinburgh Hospital",NA,16370,16370,0,100,15139,1231,11,80,0,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Median provided for age at health measurement; subjects were followed up from the age of 65; subjects that had died before that age were excluded","Moray House Test",NA,NA,NA,"Dementia and MCI","Scottish Morbidity Records","Register data",NA,"HR",1.02,0.97,1.08,NA,1.02,0.0198026272961797,-0.0304592074847086,0.0769610411361284,0.00075093124048329,0.0274031246481727,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",1,4,69,57,90,"Scottish Mental Survey 1932","None","No","Dementia and MCI",NA,"Russ et al. (2017)",-0.0304592074847086,0.0769610411361284,NA,NA
"5","Osler et al. (2017)","Osler, M., Christensen, G. T., Garde, E., Mortensen, E. L., & Christensen, K. (2017). Cognitive ability in young adulthood and risk of dementia in a cohort of Danish men, brothers, and twins. Alzheimer's and Dementia, 13. https://doi.org/10.1016/j.jalz.2017.04.003","Osler, M., Christensen, G. T., Garde, E., Mortensen, E. L., & Christensen, K","Cognitive ability in young adulthood and risk of dementia in a cohort of Danish men, brothers, and twins","https://doi.org/10.1016/j.jalz.2017.04.003",2017,"Alzheimer's and Dementia","Merete.osler@regionh.dk",27,4.5,"English","Journal article","Published","University of Copenhagen",NA,666986,666986,0,100,660570,6416,19,55,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1939 to 1959","Denmark","Cohort study",NA,"Børge Prien Prøve",NA,NA,NA,"Dementia and MCI","Danish Psychiatric Central Registry and the Danish National Patient Registry","Register data","draft board intelligence test (matrices, verbal analogies, numeracy, geometric figures; r = .82 with WAIS)","HR",1.33,1.3,1.35,NA,1.33,0.285178942233662,0.262364264467491,0.300104592450338,9.26913497144986e-05,0.00962763468950181,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,3,7,36,56,92,"Danish conscripts","None","No","Dementia and MCI",NA,"Osler et al. (2017)",0.262364264467491,0.300104592450338,NA,NA
"6","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,856,82,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Stroke","National Health Service Central Register","Register data",NA,"HR",1.06,0.85,1.32,NA,1.06,0.0582689081239758,-0.162518929497775,0.27763173659828,0.0126075469117555,0.112283333187769,"sex, smoking",2,"Yes","Smoking",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,15,65,57,90,"Scottish Mental Survey 1932","Smoking","Yes","Stroke",NA,"Hart et al. (2004)",-0.162518929497775,0.27763173659828,NA,NA
"7","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,856,82,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Stroke","National Health Service Central Register","Register data",NA,"HR",1.06,0.83,1.35,NA,1.06,0.0582689081239758,-0.186329578191493,0.300104592450338,0.015398414877135,0.124090349653528,"sex, adult SES",2,"Yes","Adult SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,16,65,57,90,"Scottish Mental Survey 1932","Adult SES","Yes","Stroke",NA,"Hart et al. (2004)",-0.186329578191493,0.300104592450338,NA,NA
"8","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,856,82,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Stroke","National Health Service Central Register","Register data",NA,"HR",1.1,0.88,1.36,NA,1.1,0.0953101798043249,-0.127833371509885,0.307484699747961,0.0123322198539444,0.111050528382103,"sex",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,17,65,57,90,"Scottish Mental Survey 1932","None","No","Stroke",NA,"Hart et al. (2004)",-0.127833371509885,0.307484699747961,NA,NA
"9","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,700,238,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Heart diseases","National Health Service Central Register","Register data",NA,"HR",1.14,1,1.29,NA,1.14,0.131028262406404,0,0.254642218373581,0.00421976906615853,0.0649597495850971,"sex, smoking",2,"Yes","Smoking",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,18,65,57,90,"Scottish Mental Survey 1932","Smoking","Yes","Heart diseases",NA,"Hart et al. (2004)",0,0.254642218373581,NA,NA
"10","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,700,238,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Heart diseases","National Health Service Central Register","Register data",NA,"HR",1.13,0.98,1.31,NA,1.13,0.122217632724249,-0.0202027073175195,0.27002713721306,0.00548165885674227,0.074038225645556,"sex, adult SES",2,"Yes","Adult SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,19,65,57,90,"Scottish Mental Survey 1932","Adult SES","Yes","Heart diseases",NA,"Hart et al. (2004)",-0.0202027073175195,0.27002713721306,NA,NA
