"Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Include.in.sample.size.calculation","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow","Country"
"Huang et al. (2018)","Huang, A. R., Strombotne, K. L., Horner, E. M., & Lapham, S. J. (2018). Adolescent Cognitive Aptitudes and Later-in-Life Alzheimer Disease and Related Disorders. JAMA Network Open, 1(5), e181726-e181726. https://doi.org/10.1001/jamanetworkopen.2018.1726","Huang, A. R., Strombotne, K. L., Horner, E. M., & Lapham, S. J.","Adolescent Cognitive Aptitudes and Later-in-Life Alzheimer Disease and Related Disorders","https://doi.org/10.1001/jamanetworkopen.2018.1726",2018,"JAMA Network Open","ahuang@air.org",32,6.4,"English","Journal article","Published","American Institutes for Research",NA,40329,40329,0,100,NA,NA,16.46125056,69.46,NA,1943.54,NA,NA,NA,NA,NA,"Project Talent","USA","Cohort study","Sample linked to Medicare data","Project Talent IQ composite",NA,NA,NA,"Dementia and MCI","Dementia: Alzheimer's disease; Centers for Medicare and Medicaid Services","Register data","Additional measurement characterists in the PT handbook","OR",1.17,1.04,1.31,NA,1.17,0.157003748809665,0.0392207131532813,0.27002713721306,0.00346675899281956,0.0588791898111681,"sex, birth year, race, adolescent SES, school region, residence region",6,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","Logistic regression OR",2023-06-17,2022-09-28,"Deary et al. (2021)","No",NA,2,5,52.99874944,40,80.6,"Yes","Project Talent","Multivariate","Yes","Dementia and MCI",NA,"Huang et al. (2018)",0.0392207131532813,0.27002713721306,NA,NA,"USA"
"Huang et al. (2018)","Huang, A. R., Strombotne, K. L., Horner, E. M., & Lapham, S. J. (2018). Adolescent Cognitive Aptitudes and Later-in-Life Alzheimer Disease and Related Disorders. JAMA Network Open, 1(5), e181726-e181726. https://doi.org/10.1001/jamanetworkopen.2018.1726","Huang, A. R., Strombotne, K. L., Horner, E. M., & Lapham, S. J.","Adolescent Cognitive Aptitudes and Later-in-Life Alzheimer Disease and Related Disorders","https://doi.org/10.1001/jamanetworkopen.2018.1726",2018,"JAMA Network Open","ahuang@air.org",32,6.4,"English","Journal article","Published","American Institutes for Research",NA,40567,0,40567,0,NA,NA,16.54554331,69.55,NA,1943.45,NA,NA,NA,NA,NA,"Project Talent","USA","Cohort study","Sample linked to Medicare data","Project Talent IQ composite",NA,NA,NA,"Dementia and MCI","Dementia: Alzheimer's disease; Centers for Medicare and Medicaid Services","Register data","Additional measurement characterists in the PT handbook","OR",1.17,1.04,1.32,NA,1.17,0.157003748809665,0.0392207131532813,0.27763173659828,0.00369896762417297,0.0608191386339281,"sex, birth year, race, adolescent SES, school region, residence region",6,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","Logistic regression OR",2023-06-17,2022-09-28,"Deary et al. (2021)","No",NA,2,6,53.00445669,40,80.6,"Yes","Project Talent","Multivariate","Yes","Dementia and MCI",NA,"Huang et al. (2018)",0.0392207131532813,0.27763173659828,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4008,NA,NA,NA,3736,272,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Asthma",NA,"Self-report data",NA,"OR",0.96,0.85,1.09,0.556,1.04166666666667,0.0408219945202552,0.162518929497775,-0.0861776962410524,0.00402501637689233,0.063443016770109,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,8,38.1,40,89,"No","NLSY 1979","None","No","Asthma",NA,"Wraw et al. (2015)",0.162518929497775,-0.0861776962410524,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4008,NA,NA,NA,3015,993,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Arthritis",NA,"Self-report data",NA,"OR",0.84,0.78,0.9,0.001,1.19047619047619,0.174353387144778,0.2484613592985,0.105360515657826,0.00133263818790819,0.0365053172552738,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,9,38.1,40,89,"No","NLSY 1979","None","No","Arthritis",NA,"Wraw et al. (2015)",0.2484613592985,0.105360515657826,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4008,NA,NA,NA,3924,84,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Stroke",NA,"Self-report data",NA,"OR",0.65,0.52,0.81,0.001,1.53846153846154,0.430782916092454,0.653926467406664,0.210721031315653,0.0127831540621501,0.113062611247707,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,10,38.1,40,89,"No","NLSY 1979","None","No","Stroke",NA,"Wraw et al. (2015)",0.653926467406664,0.210721031315653,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4008,NA,NA,NA,3794,214,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Heart diseases",NA,"Self-report data","Heart problems in general","OR",0.79,0.69,0.9,0.001,1.26582278481013,0.23572233352107,0.371063681390832,0.105360515657826,0.00459432087415017,0.0677814198298484,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,11,38.1,40,89,"No","NLSY 1979","None","No","Heart diseases",NA,"Wraw et al. (2015)",0.371063681390832,0.105360515657826,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4008,NA,NA,NA,3796,212,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Respiratory disease",NA,"Self-report data",NA,"OR",0.71,0.62,0.82,0.001,1.40845070422535,0.342490308946776,0.478035800943,0.198450938723838,0.00508692310379188,0.0713226689334596,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,12,38.1,40,89,"No","NLSY 1979","None","No","Respiratory disease",NA,"Wraw et al. (2015)",0.478035800943,0.198450938723838,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4011,NA,NA,NA,3897,114,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Cancer","excluding skin cancer","Self-report data",NA,"OR",1.16,0.96,1.4,0.133,0.862068965517241,-0.148420005118273,0.0408219945202552,-0.336472236621213,0.0092637792100057,0.0962485283524153,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,13,38.1,40,89,"No","NLSY 1979","None","No","Cancer",NA,"Wraw et al. (2015)",0.0408219945202552,-0.336472236621213,NA,NA,"USA"
"Wraw et al. (2015)","Wraw, C., Deary, I. J., Gale, C. R., & Der, G. (2015). Intelligence in youth and health at age 50. Intelligence, 53. https://doi.org/10.1016/j.intell.2015.08.001","Wraw, C., Deary, I. J., Gale, C. R., & Der, G.","Intelligence in youth and health at age 50","https://doi.org/10.1016/j.intell.2015.08.001",2015,"Intelligence","s1457166@sms.ed.ac.uk (Christina Wraw)",117,14.625,"English","Journal article","Published","University of Edinburgh",NA,4012,NA,NA,NA,3469,543,17.5,55.6,0.02,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualifications Test",NA,NA,NA,"Diabetes and metabolic syndrome",NA,"Self-report data",NA,"OR",0.85,0.77,0.93,0.001,1.17647058823529,0.162518929497775,0.261364764134408,0.0725706928348354,0.00231955444071923,0.0481617528825439,"IQ, sex, childhood age",3,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-13,2022-09-28,"Deary et al. (2021)",NA,NA,4,14,38.1,40,89,"No","NLSY 1979","None","No","Diabetes and metabolic syndrome",NA,"Wraw et al. (2015)",0.261364764134408,0.0725706928348354,NA,NA,"USA"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49945,223,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"General psychosis","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.5376,1.4297709538423,1.65356119009588,NA,1.5376,0.430222759233891,0.357514259304639,0.502931259163143,0.00137612608339286,0.0370961734332918,"psychiatric diagnosis at conscription, drug use, place of upbringing, paternal age, disturbed behavior in childhood, family history of psychiatric illness, father’s occupation",7,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,24,27.5,63,95,"No","Swedish conscripts","Multivariate","Yes","General psychosis",NA,"Zammit et al. (2004)",0.357514259304639,0.502931259163143,NA,NA,"Sweden"
