"Country.of.sample","Health.outcome.source","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ma_method","mean","lb","ub","p","k","kc","set","set_es","full_set","rank","ci"
"UK","Self-report data","Parental SES","REML",-0.228356922806404,-0.451662417465359,-0.00505142814744786,0.045037866102803,2,1,"10","54,58",0,1,0.446610989317911
"UK","Self-report data","Multivariate","REML",-0.220988386359626,-0.388863720412904,-0.0531130523063483,0.0098781712384127,2,1,"10","56,60",0,2,0.335750668106556
"UK","Self-report data","Parental SES","ML",-0.219931936450475,-0.374923865896395,-0.0649400070045554,0.00541636134549841,2,1,"10","54,58",0,3,0.30998385889184
"UK","Self-report data","Adult SES","REML",-0.217938223854106,-0.346573322965828,-0.0893031247423846,0.000898107665804424,2,1,"10","55,59",0,4,0.257270198223444
"UK","Self-report data","Adult SES","ML",-0.202667511342658,-0.285499108423981,-0.119835914261335,1.62249054093502e-06,2,1,"10","55,59",0,5,0.165663194162646
"UK","Self-report data","Multivariate","ML",-0.2017282224542,-0.304131505307512,-0.0993249396008893,0.000112919499976727,2,1,"10","56,60",0,6,0.204806565706622
"UK","all_Health.outcome.source","Adult SES","ML",-0.082851951022499,-0.280229329821549,0.114525427776551,0.410665732150334,3,2,"4,10","32,55,59",0,7,0.3947547575981
"UK","all_Health.outcome.source","Adult SES","REML",-0.0784405071680593,-0.361164096341381,0.204283082005263,0.586590108762484,3,2,"4,10","32,55,59",0,8,0.565447178346644
"all_Country.of.sample","Self-report data","Adult SES","REML",-0.0484601960743614,-0.370214560887918,0.273294168739195,0.767845018026932,9,2,"2,10","12,13,14,15,16,17,18,55,59",0,9,0.643508729627113
"all_Country.of.sample","Self-report data","Adult SES","ML",-0.0459734004190332,-0.271277157281339,0.179330356443273,0.689206514001155,9,2,"2,10","12,13,14,15,16,17,18,55,59",0,10,0.450607513724612
"all_Country.of.sample","all_Health.outcome.source","Adult SES","ML",-0.0106118343595701,-0.178170135070499,0.156946466351359,0.901213284254916,10,3,"2,4,10","12,13,14,15,16,17,18,32,55,59",0,11,0.335116601421858
"all_Country.of.sample","all_Health.outcome.source","Adult SES","REML",-0.0105224617750049,-0.216044672153003,0.194999748602993,0.920068424654756,10,3,"2,4,10","12,13,14,15,16,17,18,32,55,59",0,12,0.411044420755995
"all_Country.of.sample","Self-report data","Multivariate","ML",0.0142672933036629,-0.21033287155573,0.238867458163056,0.900917072066488,4,3,"2,10,12","20,56,60,62",0,13,0.449200329718786
"UK","Self-report data","None","ML",0.0151802236752063,-0.369273001083435,0.399633448433848,0.938313592453433,3,2,"10,13","53,57,63",0,14,0.768906449517283
"all_Country.of.sample","Self-report data","Multivariate","REML",0.0168031768856223,-0.261542689236609,0.295149043007853,0.90581485496335,4,3,"2,10,12","20,56,60,62",0,15,0.556691732244462
"UK","Self-report data","None","REML",0.0304670797726444,-0.51903440529921,0.579968564844499,0.913464161385263,3,2,"10,13","53,57,63",0,16,1.09900297014371
"UK","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.0314447551595445,-0.344055524987956,0.406945035307045,0.869629378556441,9,2,"10,13","53,54,55,56,57,58,59,60,63",0,17,0.751000560295002
"UK","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.0425163683137068,-0.491784873087677,0.576817609715091,0.876063180123331,9,2,"10,13","53,54,55,56,57,58,59,60,63",0,18,1.06860248280277
"UK","Physical or psychiatric examination","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.0507062538859256,-0.0182687616056194,0.11968126937747,0.1496279641818,2,1,"4","31,32",0,19,0.13795003098309
"UK","Physical or psychiatric examination","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.0507062539489145,-0.0182687620257073,0.119681269923536,0.149627966527546,2,1,"4","31,32",0,20,0.137950031949244
"USA","Self-report data","Adult SES","ML",0.105565447929769,0.0359048405635262,0.175226055296012,0.00297626232057336,7,1,"2","12,13,14,15,16,17,18",0,21,0.139321214732486
"all_Country.of.sample","all_Health.outcome.source","Multivariate","REML",0.110313525475917,-0.0932345392209043,0.313861590172738,0.28814092492673,10,5,"1,2,3,10,12","1,2,20,21,23,25,27,56,60,62",0,22,0.407096129393643
"all_Country.of.sample","all_Health.outcome.source","Multivariate","ML",0.11205037730707,-0.0711761089535991,0.29527686356774,0.23068471240458,10,5,"1,2,3,10,12","1,2,20,21,23,25,27,56,60,62",0,23,0.366452972521339
"USA","Self-report data","Adult SES","REML",0.113635798848792,0.033763189831043,0.193508407866541,0.00529582680632136,7,1,"2","12,13,14,15,16,17,18",0,24,0.159745218035498
"all_Country.of.sample","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.138332423035186,-0.0165052239851195,0.29317007005549,0.0799394054729809,35,7,"2,9,10,11,12,13,18","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,51,53,54,55,56,57,58,59,60,61,62,63,68,69,70,71,72",0,25,0.30967529404061
"all_Country.of.sample","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.141146769458897,-0.0258284515199304,0.308121990437725,0.0975622927841281,35,7,"2,9,10,11,12,13,18","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,51,53,54,55,56,57,58,59,60,61,62,63,68,69,70,71,72",0,26,0.333950441957655
"UK","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.148481514434038,-0.150060930527053,0.447023959395129,0.329660731305524,13,4,"4,6,10,13","30,31,32,42,53,54,55,56,57,58,59,60,63",0,27,0.597084889922182
"USA","Register data","Multivariate","ML",0.157003748809665,0.0740912369657814,0.239916260653549,0.000206114163076369,2,1,"1","1,2",0,28,0.165825023687767
"USA","Register data","Multivariate","REML",0.157003748809665,0.0740912369320113,0.239916260687319,0.000206114164307473,2,1,"1","1,2",0,29,0.165825023755307
"all_Country.of.sample","Self-report data","None","ML",0.163827821337099,-0.00177174197575897,0.329427384649956,0.0525020174214247,20,6,"2,9,10,11,13,18","3,4,5,6,7,8,9,10,11,19,51,53,57,61,63,68,69,70,71,72",0,30,0.331199126625715
"all_Country.of.sample","Self-report data","None","REML",0.167479103158176,-0.0164767365415831,0.351434942857935,0.0743567403487249,20,6,"2,9,10,11,13,18","3,4,5,6,7,8,9,10,11,19,51,53,57,61,63,68,69,70,71,72",0,31,0.367911679399518
